epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.349,1.48915,4.30444,1.52629,0.04683,0.08722,0.05828,0.04358,1.06878,4.18575,1.14823,0.000117632,0.000117632,0.000117632
2,206.976,1.13136,3.85733,1.29902,0.66606,0.07425,0.13311,0.09919,1.03593,3.49095,1.12099,0.000215335,0.000215335,0.000215335
3,312.508,1.08898,3.37427,1.25623,0.6031,0.21499,0.17776,0.13409,1.04927,2.8765,1.12957,0.000291618,0.000291618,0.000291618
4,417.1,1.07622,2.92641,1.23755,0.71832,0.24042,0.27425,0.209,0.98913,2.49883,1.10232,0.00026061,0.00026061,0.00026061
5,524.136,1.04118,2.52192,1.21861,0.78581,0.28963,0.33116,0.24841,0.96184,2.25307,1.07743,0.00022848,0.00022848,0.00022848
6,627.948,0.98452,2.24633,1.19682,0.79317,0.32565,0.38262,0.28557,0.9174,2.00417,1.05995,0.00019635,0.00019635,0.00019635
7,733.274,0.94729,2.00598,1.17255,0.75,0.38407,0.42931,0.32351,0.85046,1.77407,1.01384,0.00016422,0.00016422,0.00016422
8,837.798,0.92474,1.89118,1.17554,0.70055,0.41585,0.4614,0.34948,0.82636,1.69129,1.0105,0.00013209,0.00013209,0.00013209
9,942.596,0.88295,1.75032,1.14546,0.75569,0.45851,0.48853,0.3749,0.7958,1.60466,0.99413,9.996e-05,9.996e-05,9.996e-05
10,1047.09,0.84468,1.67966,1.13226,0.75878,0.4828,0.50088,0.38189,0.79084,1.59216,0.99052,6.783e-05,6.783e-05,6.783e-05
