epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.444,1.50074,4.30304,1.53838,0.02226,0.19656,0.06402,0.04823,1.11177,4.04306,1.18925,0.000118085,0.000118085,0.000118085
2,204.512,1.13644,3.84665,1.30516,0.6834,0.08512,0.11995,0.08978,1.02412,3.46235,1.12793,0.000215747,0.000215747,0.000215747
3,307.117,1.10529,3.35172,1.26986,0.72837,0.18773,0.19061,0.14239,1.04972,2.86446,1.12572,0.000291989,0.000291989,0.000291989
4,408.687,1.07118,2.87222,1.23606,0.74769,0.24831,0.27696,0.20632,0.9821,2.43811,1.10069,0.00026061,0.00026061,0.00026061
5,510.331,1.04052,2.47589,1.22634,0.75362,0.30489,0.33987,0.25823,0.95268,2.15567,1.06919,0.00022848,0.00022848,0.00022848
6,611.981,1.00229,2.24223,1.21596,0.74109,0.32276,0.37489,0.28322,0.91646,2.00287,1.06373,0.00019635,0.00019635,0.00019635
7,713.794,0.96465,2.02553,1.18954,0.7545,0.38762,0.44138,0.3327,0.87938,1.77722,1.03787,0.00016422,0.00016422,0.00016422
8,815.745,0.91928,1.88744,1.18208,0.78687,0.40476,0.47115,0.35832,0.84921,1.69042,1.03023,0.00013209,0.00013209,0.00013209
9,917.221,0.88617,1.75548,1.14993,0.78084,0.44487,0.49283,0.37512,0.81234,1.62254,1.01334,9.996e-05,9.996e-05,9.996e-05
10,1016.45,0.84931,1.67976,1.13743,0.73994,0.4682,0.50325,0.38956,0.79878,1.57607,1.00061,6.783e-05,6.783e-05,6.783e-05
