epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.53,1.35086,5.18743,1.36748,0.02295,0.04592,0.01871,0.01638,0.95802,5.25536,1.06001,0.000117169,0.000117169,0.000117169
2,271.541,1.04172,4.49285,1.18875,0.75079,0.0856,0.09287,0.07258,0.93439,4.3025,1.04358,0.000214914,0.000214914,0.000214914
3,404.1,1.00833,3.85436,1.15418,0.70248,0.15594,0.14692,0.11111,0.95047,3.76173,1.03921,0.000291239,0.000291239,0.000291239
4,536.658,1.00507,3.40208,1.12941,0.60585,0.25874,0.23051,0.17448,0.93372,3.362,1.02348,0.00026061,0.00026061,0.00026061
5,670.349,0.98791,3.12172,1.11485,0.64745,0.27402,0.28125,0.20875,0.91333,3.13181,1.00331,0.00022848,0.00022848,0.00022848
6,802.98,0.94166,2.94248,1.10246,0.57006,0.32428,0.29249,0.22014,0.89087,2.99214,1.00465,0.00019635,0.00019635,0.00019635
7,937.075,0.91492,2.77192,1.08252,0.64584,0.33214,0.33435,0.25502,0.84816,2.81056,0.97747,0.00016422,0.00016422,0.00016422
8,1069.26,0.89183,2.69853,1.08222,0.60695,0.35082,0.35784,0.27471,0.81941,2.72687,0.95593,0.00013209,0.00013209,0.00013209
9,1201.33,0.86781,2.59364,1.06108,0.59215,0.35883,0.3629,0.28408,0.79531,2.6597,0.94492,9.996e-05,9.996e-05,9.996e-05
10,1333.48,0.83637,2.54561,1.05433,0.64096,0.36894,0.37104,0.29438,0.77266,2.6126,0.94026,6.783e-05,6.783e-05,6.783e-05
