epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.332,1.35175,5.21306,1.37404,0.01105,0.20677,0.03838,0.03244,1.00131,4.95117,1.06613,0.000118085,0.000118085,0.000118085
2,242.199,1.07398,4.48664,1.21121,0.79473,0.08829,0.08709,0.06895,0.96634,4.28943,1.05345,0.000215747,0.000215747,0.000215747
3,362.907,1.02589,3.86804,1.16676,0.62959,0.17466,0.16001,0.12145,0.96044,3.72381,1.03226,0.000291989,0.000291989,0.000291989
4,483.767,1.02744,3.403,1.15356,0.6691,0.25522,0.22895,0.17296,0.97425,3.36557,1.02348,0.00026061,0.00026061,0.00026061
5,607.442,1.00429,3.11762,1.13123,0.66462,0.26281,0.26661,0.2043,0.91109,3.16218,1.00107,0.00022848,0.00022848,0.00022848
6,727.987,0.9617,2.96549,1.12101,0.57763,0.3065,0.29331,0.22644,0.8964,3.00771,0.99448,0.00019635,0.00019635,0.00019635
7,854.781,0.92315,2.80978,1.09331,0.56442,0.32725,0.31454,0.24326,0.87337,2.86442,0.97734,0.00016422,0.00016422,0.00016422
8,983.972,0.92396,2.7627,1.10773,0.61256,0.3433,0.33663,0.26043,0.83918,2.80497,0.96771,0.00013209,0.00013209,0.00013209
9,1111.66,0.88228,2.6388,1.07999,0.58732,0.35111,0.34142,0.26866,0.81352,2.73702,0.95318,9.996e-05,9.996e-05,9.996e-05
10,1233.13,0.86564,2.56323,1.07229,0.5972,0.35777,0.354,0.28078,0.79419,2.67762,0.93852,6.783e-05,6.783e-05,6.783e-05
