epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.9975,1.5567,4.13757,1.57863,0.76363,0.05524,0.08584,0.05887,1.18102,3.70695,1.25771,0.000118541,0.000118541,0.000118541
2,184.455,1.21933,3.12535,1.38345,0.77723,0.16585,0.22973,0.16097,1.08549,2.66342,1.20697,0.000216162,0.000216162,0.000216162
3,273.583,1.13252,2.5077,1.32597,0.59834,0.29802,0.28409,0.19879,1.02462,2.27491,1.17533,0.000292363,0.000292363,0.000292363
4,364.569,1.0423,2.1484,1.26079,0.77015,0.33896,0.36354,0.25611,0.97314,1.96853,1.14368,0.00026061,0.00026061,0.00026061
5,458.25,1.00962,1.93005,1.23861,0.76425,0.39,0.41696,0.29493,0.93418,1.78689,1.10081,0.00022848,0.00022848,0.00022848
6,547.079,0.96693,1.7958,1.22195,0.75022,0.41003,0.44888,0.32404,0.89653,1.69266,1.08857,0.00019635,0.00019635,0.00019635
7,636.832,0.93436,1.67279,1.19573,0.82524,0.43009,0.47942,0.34939,0.86885,1.55038,1.05783,0.00016422,0.00016422,0.00016422
8,730.108,0.88762,1.60691,1.18081,0.83477,0.41776,0.49642,0.37127,0.82444,1.51694,1.03411,0.00013209,0.00013209,0.00013209
9,821.322,0.87855,1.52605,1.16574,0.76528,0.47024,0.50826,0.38277,0.81729,1.45945,1.03493,9.996e-05,9.996e-05,9.996e-05
10,911.499,0.83958,1.47712,1.14859,0.77062,0.47996,0.52048,0.391,0.80937,1.43449,1.02691,6.783e-05,6.783e-05,6.783e-05
