epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.832,1.49971,4.2823,1.59223,0.03091,0.18149,0.04828,0.03651,1.07131,3.79553,1.18511,0.000117632,0.000117632,0.000117632
2,245.694,1.11733,3.18722,1.3389,0.63303,0.19131,0.20719,0.14844,1.05425,2.59716,1.19866,0.000215335,0.000215335,0.000215335
3,370.992,1.01915,2.44732,1.28056,0.7449,0.24574,0.29636,0.21158,0.96703,2.16635,1.13104,0.000291618,0.000291618,0.000291618
4,493.788,0.97633,2.07389,1.23661,0.77338,0.3123,0.35708,0.26107,0.88951,1.84054,1.082,0.00026061,0.00026061,0.00026061
5,614.371,0.93045,1.81882,1.21354,0.67043,0.41067,0.44198,0.33437,0.82912,1.65843,1.04178,0.00022848,0.00022848,0.00022848
6,733.9,0.87497,1.67997,1.19101,0.68574,0.4546,0.50399,0.38269,0.82221,1.56783,1.04698,0.00019635,0.00019635,0.00019635
7,853.783,0.84784,1.55375,1.15571,0.6957,0.47007,0.55165,0.41819,0.78554,1.43171,1.02718,0.00016422,0.00016422,0.00016422
8,974.554,0.8209,1.46679,1.16008,0.77638,0.46253,0.56431,0.43719,0.75128,1.37041,1.01005,0.00013209,0.00013209,0.00013209
9,1094.54,0.80054,1.39919,1.13829,0.69454,0.5436,0.58221,0.44802,0.74224,1.31563,0.99556,9.996e-05,9.996e-05,9.996e-05
10,1216.75,0.76486,1.36305,1.1176,0.75892,0.52709,0.59238,0.46355,0.72122,1.29054,0.98607,6.783e-05,6.783e-05,6.783e-05
