epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.524,1.49862,4.25299,1.59651,0.99411,0.03055,0.07415,0.05082,1.12803,3.66044,1.25222,0.000118085,0.000118085,0.000118085
2,245.838,1.13738,3.17846,1.35584,0.74995,0.17676,0.21193,0.15143,1.02268,2.54671,1.1694,0.000215747,0.000215747,0.000215747
3,367.213,1.02877,2.44222,1.292,0.68043,0.27731,0.29524,0.213,0.94615,2.12289,1.12378,0.000291989,0.000291989,0.000291989
4,490.41,0.98836,2.06613,1.2549,0.7254,0.36191,0.37353,0.27494,0.88183,1.81817,1.08483,0.00026061,0.00026061,0.00026061
5,612.689,0.91687,1.82489,1.20883,0.76533,0.36752,0.44599,0.33716,0.81645,1.64194,1.04379,0.00022848,0.00022848,0.00022848
6,734.818,0.88631,1.69922,1.19501,0.73601,0.44844,0.51572,0.38522,0.82002,1.55243,1.04608,0.00019635,0.00019635,0.00019635
7,856.228,0.86165,1.56841,1.17307,0.75221,0.46418,0.55009,0.42379,0.77436,1.43837,1.02159,0.00016422,0.00016422,0.00016422
8,977.414,0.83326,1.49736,1.16969,0.73625,0.48457,0.56327,0.43335,0.75196,1.37456,1.00468,0.00013209,0.00013209,0.00013209
9,1098.32,0.81021,1.44017,1.14527,0.70831,0.53945,0.57687,0.44684,0.73009,1.3369,0.98938,9.996e-05,9.996e-05,9.996e-05
10,1219.33,0.77766,1.38447,1.12758,0.68624,0.54985,0.58639,0.45841,0.71987,1.30108,0.98518,6.783e-05,6.783e-05,6.783e-05
