Yolo version;GPU/CPU;experiment;Epochs;Batch size;Lr;mAP50;mAP50-95;Precision;Recall;Loss
Yolo v8n;CPU;mu_cps_yolov8n_baseline;10;2;0.01;0.52048;0.391;0.77062;0.47996;0.80937
Yolo v8n;CPU;mu_cps_yolov8n_batch6;10;6;0.01;0.57057;0.43308;0.82808;0.52097;0.76225
Yolo v8n;CPU;mu_cps_yolov8n_batch8;10;8;0.01;0.56532;0.43573;0.76915;0.53272;0.75253
Yolo v8n;CPU;mu_cps_yolov8n_lr005;10;4;0.005;0.56244;0.4234;0.7989;0.51465;0.78302
Yolo v8n;GPU;mu_cps_yolov8n_GPU_lr001_bs16_e50;50;16;0.01;0.76015;0.61713;0.67596;0.77564;0.62261
Yolo v8n;GPU;mu_cps_yolov8n_baselineGPUBatch4;10;4;0.01;0.5695;0.43359;0.7619;0.49635;0.77507
Yolo v9t;CPU;mu_cps_yolov9t_baseline;10;4;0.01;0.58639;0.45841;0.68624;0.54985;0.71987
Yolo v9t;CPU;mu_cps_yolov9t_batch6;10;6;0.01;0.59238;0.46355;0.75892;0.52709;0.72122
Yolo v9t;CPU;mu_cps_yolov9t_batch8;10;8;0.01;0.5813;0.45047;0.69341;0.50136;0.69919
Yolo v9t;CPU;mu_cps_yolov9t_lr001;10;4;0.001;0.58639;0.45841;0.68624;0.54985;0.71987
Yolo v9t;CPU;mu_cps_yolov9t_lr005;10;4;0.005;0.58639;0.45841;0.68624;0.54985;0.71987
Yolo v9s;GPU;mu_cps_yolov9s_GPU_lr001_bs16_e50;50;16;0.01;0.83185;0.63962;0.73484;0.82763;0.53068
Yolo v9t;GPU;mu_cps_yolov9t_GPU_lr001_bs16_e50;50;16;0.01;0.74222;0.59553;0.71919;0.73491;0.56832
Yolo v9t;GPU;mu_cps_yolov9t_baselineGPUBatch4;10;4;0.01;0.57442;0.44996;0.73809;0.47674;0.72097
Yolo v10n;CPU;mu_cps_yolov10n_baseline;10;4;0.01;0.354;0.28078;0.5972;0.35777;0.79419
Yolo v10n;CPU;mu_cps_yolov10n_batch6;10;6;0.01;0.38028;0.30299;0.64704;0.38103;0.78477
Yolo v10n;CPU;mu_cps_yolov10n_batch8;10;8;0.01;0.37104;0.29438;0.64096;0.36894;0.77266
Yolo v10n;CPU;mu_cps_yolov10n_lr001;10;4;0.001;0.354;0.28078;0.5972;0.35777;0.79419
Yolo v10n;CPU;mu_cps_yolov10n_lr005;10;4;0.005;0.354;0.28078;0.5972;0.35777;0.79419
Yolo v10n;GPU;mu_cps_yolov10n_GPU_lr001_bs16_e50;50;16;0.01;0.63455;0.5294;0.53776;0.65669;0.69796
Yolo v10n;GPU;mu_cps_yolov10n_baselineGPUBatch4;10;4;0.01;0.36546;0.29028;0.58405;0.37401;0.80205
Yolo v10s;GPU;mu_cps_yolov10s_GPU_lr001_bs16_e50;50;16;0.01;0.83362;0.67823;0.64408;0.88306;0.67678
Yolo 11n;CPU;mu_cps_yolo11n_baseline;10;4;0.01;0.50325;0.38956;0.73994;0.4682;0.79878
Yolo 11n;CPU;mu_cps_yolo11n_batch6;10;6;0.01;0.50088;0.38189;0.75878;0.4828;0.79084
Yolo 11n;CPU;mu_cps_yolo11n_batch8;10;8;0.01;0.50337;0.38546;0.78478;0.47294;0.78968
Yolo 11n;CPU;mu_cps_yolo11n_lr001;10;4;0.001;0.50325;0.38956;0.73994;0.4682;0.79878
Yolo 11n;CPU;mu_cps_yolo11n_lr005;10;4;0.005;0.50325;0.38956;0.73994;0.4682;0.79878
Yolo 11n;GPU;mu_cps_yolo11n_GPU_lr001_bs16_e50;50;16;0.01;0.76282;0.61858;0.69992;0.77648;0.60252
Yolo 11n;GPU;mu_cps_yolo11n_baselineGPUBatch4;10;4;0.01;0.49157;0.37631;0.77546;0.44523;0.80482
Yolo 11s;GPU;mu_cps_yolo11s_GPU_lr001_bs16_e50;50;16;0.01;0.824;0.65228;0.75357;0.79391;0.56532
